,EntryNo_,ItemLedgerEntryNo_,Inbound,Outbound,Quantity,TrfFrom,ILEInbound,OutboundTrf,PostingDate,Link_In,Link_Out
0,4872648,4860422,4850519,4860422,-1.00000000000000000000,0,4860422|4850519,4860422|0,2021-06-03,NA,4850519
1,4873781,4861552,4861126,4861552,-1.00000000000000000000,0,4861552|4861126,4861552|0,2021-06-03,NA,4861126
2,4874216,4861987,4861829,4861987,-1.00000000000000000000,0,4861987|4861829,4861987|0,2021-06-03,NA,4861829
3,4874406,4862177,4708872,4862177,-1.00000000000000000000,0,4862177|4708872,4862177|0,2021-06-03,NA,4708872
4,4875063,4862834,4862831,4862834,-1.00000000000000000000,0,4862834|4862831,4862834|0,2021-06-04,NA,4862831
5,4875213,4862984,4862984,4862983,1.00000000000000000000,4861238,4862984|4862984,4862983|4861238,2021-06-04,4862983|4861238,-1
6,4875386,4863157,4733117,4863157,-1.00000000000000000000,0,4863157|4733117,4863157|0,2021-06-04,NA,4733117
7,4875618,4863389,4863389,4863388,2.00000000000000000000,4863387,4863389|4863389,4863388|4863387,2021-06-04,4863388|4863387,-1
8,4875623,4863394,4863394,4863393,1.00000000000000000000,4863392,4863394|4863394,4863393|4863392,2021-06-04,4863393|4863392,-1
9,4875782,4863553,4863532,4863553,-1.00000000000000000000,0,4863553|4863532,4863553|0,2021-06-04,NA,4863532
10,4876799,4864570,4864570,4864569,5.00000000000000000000,4774341,4864570|4864570,4864569|4774341,2021-06-04,4864569|4774341,-1
11,4876914,4864685,4864685,4864684,1.00000000000000000000,4063311,4864685|4864685,4864684|4063311,2021-06-04,4864684|4063311,-1
12,4877067,4864837,4841165,4864837,-1.00000000000000000000,0,4864837|4841165,4864837|0,2021-06-04,NA,4841165
13,4877106,4864875,4864669,4864875,-1.00000000000000000000,0,4864875|4864669,4864875|0,2021-06-04,NA,4864669
14,4877196,4864965,4674832,4864965,-1.00000000000000000000,0,4864965|4674832,4864965|0,2021-06-04,NA,4674832
15,4877197,4864966,4810088,4864966,-1.00000000000000000000,0,4864966|4810088,4864966|0,2021-06-04,NA,4810088
16,4877470,4865239,4862368,4865239,-1.00000000000000000000,0,4865239|4862368,4865239|0,2021-06-04,NA,4862368
17,4872775,4860548,4860548,4860547,1.00000000000000000000,4860544,4860548|4860548,4860547|4860544,2021-06-03,4860547|4860544,-1
18,4872962,4860735,4860735,4860734,1.00000000000000000000,4860733,4860735|4860735,4860734|4860733,2021-06-03,4860734|4860733,-1
19,4873653,4861424,4856526,4861424,-1.00000000000000000000,0,4861424|4856526,4861424|0,2021-06-03,NA,4856526
20,4873815,4861586,4861148,4861586,-1.00000000000000000000,0,4861586|4861148,4861586|0,2021-06-03,NA,4861148
